    Hinst Name                                                         Module Name                  Inst Count           Total Area
--------------------------------------------------------------------------------------------------------------------------------
top                                                                                                       2222             6593.342
          u_systolic_array_top/sys_array/row[0].col[37].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102308          3               15.960
          u_systolic_array_top/sys_array/row[0].col[37].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106466          2               10.640
      u_systolic_array_top/sys_array/row[0].col[38].pe                 processing_element_N64_62639         12               41.762
        u_systolic_array_top/sys_array/row[0].col[38].pe/u_fp32_mac    fp32_mac_102370                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[38].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102307          3               15.960
          u_systolic_array_top/sys_array/row[0].col[38].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106465          2               10.640
      u_systolic_array_top/sys_array/row[0].col[39].pe                 processing_element_N64_62638         12               41.762
        u_systolic_array_top/sys_array/row[0].col[39].pe/u_fp32_mac    fp32_mac_102369                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[39].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102306          3               15.960
          u_systolic_array_top/sys_array/row[0].col[39].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106464          2               10.640
      u_systolic_array_top/sys_array/row[0].col[3].pe                  processing_element_N64_62674         12               41.762
        u_systolic_array_top/sys_array/row[0].col[3].pe/u_fp32_mac     fp32_mac_102405                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[3].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102342          3               15.960
          u_systolic_array_top/sys_array/row[0].col[3].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106500          2               10.640
      u_systolic_array_top/sys_array/row[0].col[40].pe                 processing_element_N64_62637         12               41.762
        u_systolic_array_top/sys_array/row[0].col[40].pe/u_fp32_mac    fp32_mac_102368                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[40].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102305          3               15.960
          u_systolic_array_top/sys_array/row[0].col[40].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106463          2               10.640
      u_systolic_array_top/sys_array/row[0].col[41].pe                 processing_element_N64_62636         12               41.762
        u_systolic_array_top/sys_array/row[0].col[41].pe/u_fp32_mac    fp32_mac_102367                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[41].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102304          3               15.960
          u_systolic_array_top/sys_array/row[0].col[41].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106462          2               10.640
      u_systolic_array_top/sys_array/row[0].col[42].pe                 processing_element_N64_62635         12               41.762
        u_systolic_array_top/sys_array/row[0].col[42].pe/u_fp32_mac    fp32_mac_102366                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[42].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102303          3               15.960
          u_systolic_array_top/sys_array/row[0].col[42].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106461          2               10.640
      u_systolic_array_top/sys_array/row[0].col[43].pe                 processing_element_N64_62634         12               41.762
        u_systolic_array_top/sys_array/row[0].col[43].pe/u_fp32_mac    fp32_mac_102365                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[43].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102302          3               15.960
          u_systolic_array_top/sys_array/row[0].col[43].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106460          2               10.640
      u_systolic_array_top/sys_array/row[0].col[44].pe                 processing_element_N64_62633         12               41.762
        u_systolic_array_top/sys_array/row[0].col[44].pe/u_fp32_mac    fp32_mac_102364                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[44].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102301          3               15.960
          u_systolic_array_top/sys_array/row[0].col[44].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106459          2               10.640
      u_systolic_array_top/sys_array/row[0].col[45].pe                 processing_element_N64_62632         12               41.762
        u_systolic_array_top/sys_array/row[0].col[45].pe/u_fp32_mac    fp32_mac_102363                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[45].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102300          3               15.960
          u_systolic_array_top/sys_array/row[0].col[45].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106458          2               10.640
      u_systolic_array_top/sys_array/row[0].col[46].pe                 processing_element_N64_62631         12               41.762
        u_systolic_array_top/sys_array/row[0].col[46].pe/u_fp32_mac    fp32_mac_102362                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[46].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102299          3               15.960
          u_systolic_array_top/sys_array/row[0].col[46].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106457          2               10.640
      u_systolic_array_top/sys_array/row[0].col[47].pe                 processing_element_N64_62630         12               41.762
        u_systolic_array_top/sys_array/row[0].col[47].pe/u_fp32_mac    fp32_mac_102361                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[47].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102298          3               15.960
          u_systolic_array_top/sys_array/row[0].col[47].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106456          2               10.640
      u_systolic_array_top/sys_array/row[0].col[48].pe                 processing_element_N64_62629         12               41.762
        u_systolic_array_top/sys_array/row[0].col[48].pe/u_fp32_mac    fp32_mac_102360                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[48].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102297          3               15.960
          u_systolic_array_top/sys_array/row[0].col[48].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106455          2               10.640
      u_systolic_array_top/sys_array/row[0].col[49].pe                 processing_element_N64_62628         12               41.762
        u_systolic_array_top/sys_array/row[0].col[49].pe/u_fp32_mac    fp32_mac_102359                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[49].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102296          3               15.960
          u_systolic_array_top/sys_array/row[0].col[49].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106454          2               10.640
      u_systolic_array_top/sys_array/row[0].col[4].pe                  processing_element_N64_62673         12               41.762
        u_systolic_array_top/sys_array/row[0].col[4].pe/u_fp32_mac     fp32_mac_102404                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[4].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102341          3               15.960
          u_systolic_array_top/sys_array/row[0].col[4].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106499          2               10.640
      u_systolic_array_top/sys_array/row[0].col[50].pe                 processing_element_N64_62627         12               41.762
        u_systolic_array_top/sys_array/row[0].col[50].pe/u_fp32_mac    fp32_mac_102358                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[50].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102295          3               15.960
          u_systolic_array_top/sys_array/row[0].col[50].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106453          2               10.640
      u_systolic_array_top/sys_array/row[0].col[51].pe                 processing_element_N64_62626         12               41.762
        u_systolic_array_top/sys_array/row[0].col[51].pe/u_fp32_mac    fp32_mac_102357                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[51].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102294          3               15.960
          u_systolic_array_top/sys_array/row[0].col[51].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106452          2               10.640
      u_systolic_array_top/sys_array/row[0].col[52].pe                 processing_element_N64_62625         12               41.762
        u_systolic_array_top/sys_array/row[0].col[52].pe/u_fp32_mac    fp32_mac_102356                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[52].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102293          3               15.960
          u_systolic_array_top/sys_array/row[0].col[52].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106451          2               10.640
      u_systolic_array_top/sys_array/row[0].col[53].pe                 processing_element_N64_62624         12               41.762
        u_systolic_array_top/sys_array/row[0].col[53].pe/u_fp32_mac    fp32_mac_102355                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[53].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102292          3               15.960
          u_systolic_array_top/sys_array/row[0].col[53].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106450          2               10.640
      u_systolic_array_top/sys_array/row[0].col[54].pe                 processing_element_N64_62623         12               41.762
        u_systolic_array_top/sys_array/row[0].col[54].pe/u_fp32_mac    fp32_mac_102354                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[54].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102291          3               15.960
          u_systolic_array_top/sys_array/row[0].col[54].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106449          2               10.640
      u_systolic_array_top/sys_array/row[0].col[55].pe                 processing_element_N64_62622         12               41.762
        u_systolic_array_top/sys_array/row[0].col[55].pe/u_fp32_mac    fp32_mac_102353                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[55].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102290          3               15.960
          u_systolic_array_top/sys_array/row[0].col[55].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106448          2               10.640
      u_systolic_array_top/sys_array/row[0].col[56].pe                 processing_element_N64_62621         12               41.762
        u_systolic_array_top/sys_array/row[0].col[56].pe/u_fp32_mac    fp32_mac_102352                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[56].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102289          3               15.960
          u_systolic_array_top/sys_array/row[0].col[56].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106447          2               10.640
      u_systolic_array_top/sys_array/row[0].col[57].pe                 processing_element_N64_62620         12               41.762
        u_systolic_array_top/sys_array/row[0].col[57].pe/u_fp32_mac    fp32_mac_102351                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[57].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102288          3               15.960
          u_systolic_array_top/sys_array/row[0].col[57].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106446          2               10.640
      u_systolic_array_top/sys_array/row[0].col[58].pe                 processing_element_N64_62619         12               41.762
        u_systolic_array_top/sys_array/row[0].col[58].pe/u_fp32_mac    fp32_mac_102350                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[58].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102287          3               15.960
          u_systolic_array_top/sys_array/row[0].col[58].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106445          2               10.640
      u_systolic_array_top/sys_array/row[0].col[59].pe                 processing_element_N64_62618         12               41.762
        u_systolic_array_top/sys_array/row[0].col[59].pe/u_fp32_mac    fp32_mac_102349                       5               26.600
